"","case_month","res_state","res_county","county_fips_code","cases","hosp_yes","hosp_no","hosp_missing","death_yes","death_no","death_missing","jhu_cases","jhu_deaths","CovidDeathCount","CovidContributingCount","county_name","new_hosp","death"
"502",2022-09-01,"NE","SCOTTS BLUFF",31157,1660,19,138,1503,0,0,1660,86,0,2,2,"Scotts Bluff",23,0
"503",2022-09-01,"NE","WASHINGTON",31177,618,0,21,597,0,0,618,41,0,1,2,"Washington",8,1
"504",2022-10-01,"NE","ADAMS",31001,306,0,1,305,0,0,306,91,16,0,0,"Adams",12,0
"505",2022-10-01,"NE","BUFFALO",31019,125,1,32,92,0,0,125,172,46,3,5,"Buffalo",31,3
"506",2022-10-01,"NE","CASS",31025,976,0,9,967,0,0,976,102,8,0,0,NA,NA,NA
"507",2022-10-01,"NE","DAKOTA",31043,443,0,8,435,0,0,443,109,12,0,0,NA,NA,NA
"508",2022-10-01,"NE","DAWSON",31047,35,1,7,27,0,0,35,69,45,0,0,"Dawson",11,0
"509",2022-10-01,"NE","DODGE",31053,525,0,12,513,0,0,525,167,29,2,2,"Dodge",6,2
"510",2022-10-01,"NE","DOUGLAS",31055,541,9,232,300,0,0,541,2419,151,10,21,"Douglas",162,6
"511",2022-10-01,"NE","GAGE",31067,522,0,0,522,0,0,522,44,11,0,0,"Gage",0,0
"512",2022-10-01,"NE","HALL",31079,181,1,153,27,0,164,17,286,29,2,2,"Hall",8,2
"513",2022-10-01,"NE","LANCASTER",31109,2341,9,17,2315,0,0,2341,1687,160,0,2,"Lancaster",78,0
"514",2022-10-01,"NE","LINCOLN",31111,1276,3,33,1240,0,0,1276,201,17,1,1,"Lincoln",12,1
"515",2022-10-01,"NE","MADISON",31119,783,5,5,773,0,0,783,100,10,1,1,"Madison",14,1
"516",2022-10-01,"NE","PLATTE",31141,125,2,79,44,0,0,125,164,10,0,1,"Platte",0,0
"517",2022-10-01,"NE","SARPY",31153,6480,3,103,6374,0,0,6480,786,45,0,2,"Sarpy",7,2
"518",2022-10-01,"NE","SAUNDERS",31155,215,2,3,210,0,0,215,55,22,0,1,"Saunders",0,0
"519",2022-10-01,"NE","SCOTTS BLUFF",31157,730,18,61,651,0,0,730,225,64,1,1,"Scotts Bluff",18,1
"520",2022-10-01,"NE","WASHINGTON",31177,224,0,2,222,0,0,224,74,4,1,1,"Washington",0,1
"521",2022-11-01,"NE","BUFFALO",31019,150,4,61,85,0,0,150,299,1,0,0,"Buffalo",37,0
"522",2022-11-01,"NE","CASS",31025,29,2,17,10,0,0,29,99,2,0,1,NA,NA,NA
"523",2022-11-01,"NE","DAKOTA",31043,39,0,6,33,0,0,39,115,3,0,0,NA,NA,NA
"524",2022-11-01,"NE","DAWSON",31047,77,0,16,61,0,0,77,74,2,0,0,"Dawson",0,1
"525",2022-11-01,"NE","DODGE",31053,127,2,18,107,0,0,127,191,5,3,3,"Dodge",15,4
"526",2022-11-01,"NE","DOUGLAS",31055,419,13,301,105,0,0,419,2134,25,10,30,"Douglas",232,7
"527",2022-11-01,"NE","GAGE",31067,95,0,0,95,0,0,95,481,0,0,0,"Gage",44,0
"528",2022-11-01,"NE","HALL",31079,317,1,243,73,0,284,33,404,0,4,4,"Hall",43,0
"529",2022-11-01,"NE","LANCASTER",31109,2679,10,10,2659,0,0,2679,1265,5,6,8,"Lancaster",100,4
"530",2022-11-01,"NE","LINCOLN",31111,72,2,36,34,0,0,72,331,2,3,3,"Lincoln",37,1
"531",2022-11-01,"NE","MADISON",31119,348,10,48,290,0,0,348,309,0,0,0,"Madison",9,0
"532",2022-11-01,"NE","PLATTE",31141,113,2,101,10,0,0,113,162,0,2,2,"Platte",9,2
"533",2022-11-01,"NE","SARPY",31153,149,2,101,46,0,0,149,746,5,4,6,"Sarpy",13,5
"534",2022-11-01,"NE","SAUNDERS",31155,24,0,3,21,0,0,24,42,3,1,1,"Saunders",0,1
"535",2022-11-01,"NE","SCOTTS BLUFF",31157,316,25,225,66,0,0,316,308,4,0,1,"Scotts Bluff",30,0
"536",2022-11-01,"NE","WASHINGTON",31177,65,0,10,55,0,0,65,84,4,0,0,"Washington",0,0
"537",2022-12-01,"NE","BUFFALO",31019,293,0,65,228,0,0,293,0,0,0,0,"Buffalo",35,0
"538",2022-12-01,"NE","CASS",31025,24,0,20,4,0,0,24,0,0,1,1,NA,NA,NA
"539",2022-12-01,"NE","DAKOTA",31043,12,0,12,0,0,0,12,0,0,2,2,NA,NA,NA
"540",2022-12-01,"NE","DAWSON",31047,105,0,15,90,0,0,105,0,0,2,2,"Dawson",8,2
"541",2022-12-01,"NE","DODGE",31053,67,0,28,39,0,0,67,0,0,5,5,"Dodge",14,5
